Pos,Filme,Distribuidor,País,Data Estr.,Sala E.,Cine E.,Sem,publico
173,Sword art online progressive - Ária de uma noite sem estrelas,Sony,Japão,3/10/2022,43,38,7,7.190
174,Tre piani,Imovision,França,4/7/2022,19,19,39,7.110
175,"Croods 2 - Uma nova era, Os",Universal,EUA,7/1/2021,1.151,579,77,7.041
176,Ilusões perdidas,California,França,6/9/2022,19,16,20,7.029
177,Tromba trem - O filme,Manequim Filmes,Brasil,9/8/2022,143,128,8,7.014
178,Seventeen power of love - The movie,Trafalgar,Coréia do Sul,4/14/2022,66,64,2,6.959
179,"Acusação, A",Imovision,França,10/27/2022,22,20,10,6.435
180,"Summer of soul (... ou, quando a revolução não pode ser televisionada)",Disney,EUA,1/27/2022,6,6,20,6.100
181,"Herói, Um",California,França,7/28/2022,30,26,9,5.815
182,Paradise – Uma nova vida,Arteplex Filmes,Itália,7/21/2022,15,14,23,5.775
183,Madre Teresa - Amor maior não há,Kolbe Arte Produções,EUA,11/21/2022,96,93,4,5.456
184,"Nossos filhos, Aos",Imovision,Brasil,7/28/2022,22,20,16,5.349
185,"Noite do triunfo, A",Imovision,França,4/21/2022,18,17,23,5.337
186,"Acontecimento, O",Zeta Filmes,França,7/7/2022,29,27,18,5.260
187,NCT Dream the movie - In a dream,Trafalgar,Coréia do Sul,11/30/2022,59,55,2,5.215
188,Memoria,O2 Play,Colômbia,7/21/2022,17,17,7,4.973
189,The Beatles: Get back - O último show,Disney,EUA,2/10/2022,12,12,1,4.970
190,"Bardo, falsa crônica de algumas verdades",O2 Play,México,11/17/2022,38,38,5,4.957
191,"Destino de Haffmann, O",Synapse,França,8/11/2022,19,18,12,4.877
192,Belle,Paris,Japão,1/27/2022,148,123,11,4.836
193,Flee - Nenhum lugar para chamar de lar,Diamond/Galeria,Dinamarca,4/21/2022,38,33,15,4.825
194,"Amor, sublime amor",Disney,EUA,12/9/2021,365,269,18,4.741
195,"Clube dos anjos, O",Vitrine Filmes,Brasil,11/3/2022,32,31,7,4.724
196,Muco - Contradição na tradição,Guruji Filmes,Brasil,12/8/2022,10,10,4,4.641
197,"Criança do diabo, A",Cinecolor,Colômbia,4/28/2022,52,47,1,4.629
198,Amantes,Pandora Filmes,França,9/15/2022,32,29,6,4.625
199,Carvão,Pandora Filmes,Brasil,11/3/2022,22,21,9,4.620
200,Roda do destino,Pandora Filmes,Japão,1/6/2022,16,15,52,4.600
201,"Ennio, o maestro",Bonfilm,Itália,9/29/2022,19,18,12,4.457
202,"Debate, O",DT/Paris,Brasil,8/25/2022,122,102,7,4.441
203,King Richard - Criando campeãs,Warner,EUA,12/2/2021,358,289,39,4.383
204,Ruído branco,O2 Play,EUA,12/8/2022,36,34,4,4.081
205,Kobra auto-retrato,Imovision,Brasil,11/17/2022,23,17,6,4.078
206,"Ilha de Bergman, A",Pandora Filmes,França,2/24/2022,23,20,32,4.002
207,"Primeiros soldados, Os",Olhar Distribuição,Brasil,7/7/2022,7,7,13,3.958
208,Sistema bruto,Do2,Brasil,9/29/2022,126,120,3,3.871
209,"Senhor dos anéis - As duas torres, O",Warner,EUA,12/27/2002,0,0,0,3.720
210,"Luta de uma vida, A",Diamond/Galeria,Canadá,9/8/2022,73,62,3,3.700
211,Lola e seus irmãos,Pandora Filmes,França,7/7/2022,21,21,9,3.690
212,Pinóquio,O2 Play,EUA,11/24/2022,21,19,6,3.673
213,"Farsa, A",Diamond,França,12/22/2022,20,20,2,3.619
214,"Fratura, A",Imovision,França,5/5/2022,14,13,6,3.575
