Pos,Filme,Distribuidor,País,Data Estr.,Sala E.,Cine E.,Sem,Semana
330,Mostra ditadura nunca mais,Independente,Brasil,11/8/2021,1,1,3,125
331,Tel Aviv em chamas,Pandora Filmes,Luxemburgo,3/19/2020,0,0,47,119
332,Currais,O2 Play,Brasil,4/1/2021,0,0,26,118
333,"Prazer, camaradas!",Bretz Filmes,Portugal,7/15/2021,2,2,6,116
334,"Chacrinha, eu vim para confundir e não para explicar",Bretz Filmes,Brasil,1/28/2021,2,2,4,115
335,"Família Addams, A",Universal,EUA,10/31/2019,905,585,109,114
336,Callado,Bretz Filmes,Brasil,1/21/2021,3,3,5,113
337,Jumanji - Próxima fase,Sony,EUA,1/16/2020,1.453,649,93,110
338,"Princesa da Yakuza, A",Warner,Brasil,10/7/2021,1,1,1,109
339,SARS-CoV-2 - O tempo da pandemia,Arteplex Filmes,Brasil,11/18/2021,9,9,4,106
340,"Ninho, O",A2 Filmes,Itália,11/11/2021,2,2,1,105
341,Aleluia - O canto infinito do Tincoã,Descoloniza Filmes,Brasil,11/18/2021,1,1,2,101
