,TituloNacional,Titulo,Distribuidor,Estreia,Origem,Genero,ClassificacaoEtaria,Salas_na_Estreia,RENDA,PUBLICO
145,Maria do Caritó,Maria do Caritó,Imagem,10/31/2019,Brasil,Comédia,12,226,"637.695,05",40.852
146,"Cadê você, Bernadette?","Where'd you go, Bernadette?",Imagem,11/7/2019,EUA,Comédia - Dramática,14,90,"617.010,77",27.996
147,Rainhas do crime,The kitchen,Warner,8/8/2019,EUA,Ação,16,79,"605.847,34",28.500
148,Cópias - De volta a vida,Replicas,Paris,4/18/2019,EUA,Ficção-científica,14,119,"597.975,55",35.441
149,A menina e o leão,Mia and the while lion,Paris,5/9/2019,França/África do Sul/Alemanha,Aventura,12,119,"572.451,76",34.875
150,Gloria Bell,Gloria Bell,Sony,3/28/2019,Chile,Drama,16,13,"565.792,83",30.679
151,Ma,Ma,Universal,5/30/2019,EUA,Thriller,16,116,"554.368,09",35.927
152,Culpa,The guilty,California,12/27/2018,Dinamarca,Suspense,12,35,"534.662,44",31.508
153,O anjo,El ángel,Pagu Pictures,4/18/2019,Argentina,Drama,16,32,"523.285,43",28.150
154,O retorno de Ben,Ben is back,Diamond Films,3/21/2019,EUA,Drama,14,83,"500.147,09",25.505
155,Nasce uma estrela,A star is born,Warner,10/11/2018,EUA,Musical,16,553,"497.606,12",28.716
156,Border,Gräns,Arteplex Filmes,4/11/2019,Suécia,Drama,16,15,"493.098,21",27.244
157,Um banho de vida,Le grand bain,Pagu Pictures,3/21/2019,França,Comédia,14,32,"491.908,72",27.613
158,Calmaria,Serenity,Diamond Films,2/28/2019,EUA,Drama,14,55,"477.720,30",24.024
159,O confeiteiro,The cakemaker,Imovision,12/27/2018,Alemanha,Drama,14,17,"450.400,44",27.113
160,Muleque té doido 3: Mais doido ainda!,Muleque té doido 3: Mais doido ainda!,Distribuição Própria,1/24/2019,Brasil,Comédia,14,18,"446.974,58",32.649
161,Amigos para sempre,The upside,California,1/17/2019,EUA,Drama,14,59,"438.000,07",19.022
162,Morto não fala,Morto não fala,Pagu Pictures,10/10/2019,Brasil,Suspense,16,79,"428.317,89",27.696
163,Jornada da vida,Yao,California,7/18/2019,França/ Senegal,Drama,10,8,"422.090,58",24.280
164,Aventura em miniatura,The big shrink,Lança Filmes,11/28/2019,China,Animação,Livre,62,"420.660,35",32.154
165,Un homem fiel,L'homme fidèle,Supo Mungam Films,7/4/2019,França,Comédia - Dramática,12,39,"410.145,60",25.986
166,A grande dama do cinema,El cuento de las comadrejas,Fênix Filmes,5/16/2019,Argentina/ Espanha,Comédia - Dramática,????,22,"409.635,27",23.595
167,Quem você pensa que sou,Celle que vous croyez,California,9/12/2019,França/ Belgica,Drama,16,29,"406.902,09",24.247
168,A batalha das correntes,The current war,Diamond Films,12/19/2019,EUA,Drama,12,78,"404.703,51",18.609
169,Encontros,Deux moi,Imovision,10/3/2019,França,Drama,12,12,"404.560,17",22.050
170,My Hero Academia: 2 Heróis - O Filme,My Hero Academia The Movie: Futari no Hero,Sato Company,8/8/2019,Japão,Animação,12,105,"403.687,10",23.176
171,Socorro! Virei uma garota,Socorro! Virei uma garota,DTF/Paris,8/22/2019,Brasil,Comédia,12,119,"395.781,14",26.552
172,A última loucura de Claire Darling,La Dernière Folie de Claire Darling,A2 Filmes,8/1/2019,França/ Belgica,Drama,12,31,"384.361,40",22.248
173,A música da minha vida,Blinded by the light,Warner,9/19/2019,Inglaterra,Comédia,12,51,"377.559,03",17.445
174,Amor à segunda vista,Mon inconnue,Bonfilm,7/11/2019,França/ Belgica,Comédia,12,29,"372.702,91",23.854
175,A rebelião,Capitive state,Diamond Films,3/28/2019,EUA,Ficção-científica,14,92,"366.291,53",23.193
176,Divino amor,Divino amor,Vitrine Filmes,6/27/2019,Brasil,Drama,18,36,"353.693,11",24.038
177,O professor substituto,L'heure de la sortie,Supo Mungam Films,7/25/2019,França,Suspense,16,20,"351.763,84",22.579
178,Eu acredito,I believe,Imagem,6/6/2019,EUA,Drama,12,104,"351.524,65",24.925
179,O peso do passado,Destroyer,Diamond Films,1/17/2019,EUA,Drama,16,40,"345.472,85",19.041
180,Rainha de copas,Dronningen,Arteplex Filmes,9/12/2019,Dinamarca,Drama,18,21,"335.826,81",18.981
