,,,,,,,ACUMULADO,
título em português,título original,distribuidora,Renda 2019 (R$), Público 2019,Salas Abertura,Estreia, renda (R$),público
Socorro! Virei uma garota,Socorro! Virei uma garota,DTF/Paris,395.781,26.552,119,8/22/2019,395.781,26.552
A última loucura de Claire Darling,La Dernière Folie de Claire Darling,A2 Filmes,384.361,22.248,31,8/1/2019,384.361,22.248
A música da minha vida,Blinded by the light,Warner,377.559,17.445,51,9/19/2019,377.559,17.445
Amor à segunda vista,Mon inconnue,Bonfilm,372.703,23.854,29,7/11/2019,372.703,23.854
A rebelião,Capitive state,Diamond Films,366.292,23.193,92,3/28/2019,366.292,23.193
Divino amor,Divino amor,Vitrine Filmes,353.693,24.038,36,6/27/2019,353.693,24.038
O professor substituto,L'heure de la sortie,Supo Mungam Films,351.764,22.579,20,7/25/2019,351.764,22.579
Eu acredito,I believe,Imagem,351.525,24.925,104,6/6/2019,351.525,24.925
O peso do passado,Destroyer,Diamond Films,345.473,19.041,40,1/17/2019,345.473,19.041
Rainha de copas,Dronningen,Arteplex Filmes,335.827,18.981,21,9/12/2019,335.827,18.981
Crimes obscuros,True crimes,Cinecolor,334.663,21.256,59,2/28/2019,334.663,21.256
A costureira de sonhos,Sir,Imovision,330.861,18.968,12,5/23/2019,330.861,18.968
Vidas duplas,Doubles vies,California,327.717,18.170,34,4/18/2019,327.717,18.170
Cézanne e eu,Cézanne et moi,Bretz Filmes,325.701,18.333,6,7/4/2019,325.701,18.333
Metallica & San Francisco Symphony: S&M2,Metallica & San Francisco Symphony: S&M2,Distribuição Própria,318.980,15.853,292,10/9/2019,318.980,15.853
Um ato de esperança,The children act,A2 Filmes,295.293,17.446,27,3/21/2019,295.293,17.446
Minha obra-prima,Mi obra-maestra,Arteplex Filmes,287.281,16.421,18,3/28/2019,287.281,16.421
A revolução em Paris,Un peuple et son roi,Bonfilm,285.334,18.597,85,11/28/2019,285.334,18.597
Se a rua Beale falasse,If Beale street could talk,Sony,284.985,19.470,6,2/7/2019,284.985,19.470
Adam,Adam,Arteplex Filmes,281.415,15.528,16,11/14/2019,281.415,15.528
Matrix,Matrix,Warner,277.165,18.547,70,10/17/2015,277.165,18.547
Link perdido,Missing link,Disney,276.575,19.742,285,11/7/2019,276.575,19.742
Entardecer,Napszállta,California,273.765,15.033,15,5/2/2019,273.765,15.033
Não olhe,Look away,Paris,266.631,14.430,60,2/28/2019,266.631,14.430
Querido menino,Beautiful boy,Diamond Films,255.178,14.933,73,2/21/2019,255.178,14.933
Segredos oficiais,Official secrets,Diamond Films,253.185,14.080,48,10/31/2019,253.185,14.080
Graças a Deus,Grâce à Dieu,California,251.760,15.803,28,6/20/2019,251.760,15.803
Tudo o que tivemos,What they had,Diamond Films,249.507,13.603,54,5/2/2019,249.507,13.603
O sol também é uma estrela,The sun is also a star,Warner,247.814,14.125,107,5/16/2019,247.814,14.125
As rainhas da torcida,Poms,Diamond Films,243.674,13.304,73,8/1/2019,243.674,13.304
O paraíso deve ser aqui,It must be heaven,Imovision,238.775,12.159,17,12/19/2019,238.775,12.159
Brooklyn - Sem pai nem mãe,Motherless Brooklyn,Warner,236.004,10.485,23,12/5/2019,236.004,10.485
O mistério de Henri Pick,Le mystére Henri Pick,A2 Filmes,233.261,14.834,24,7/25/2019,233.261,14.834
Deslembro,Deslembro,Imovision,229.236,14.261,20,6/20/2019,229.236,14.261
A pé ele não vai longe,"Don't worry, he won't get far on foot",Diamond Films,222.074,12.335,40,12/27/2018,378.911,19.708
O médico indiano,The doctor from India,Distribuição Própria,219.040,12.661,6,2/7/2019,219.040,12.661
Fevereiros,Fevereiros,Art House Movies,216.862,14.744,15,1/31/2019,216.862,14.744
Um amor impossível,Un amour impossible,A2 Filmes,213.011,11.752,29,8/22/2019,213.011,11.752
Asterix e o segredo da poção mágica,Astérix - Le secret de la potion magique,Bonfilm,209.704,12.914,38,9/19/2019,209.704,12.914
Colette,Colette,Diamond Films,201.515,12.658,54,12/13/2018,864.533,47.526
Amanda,Amanda,Imovision,197.150,11.496,7,5/2/2019,197.150,11.496
Adeus à noite,L'adieu à la nuit,Pandora,194.184,11.991,51,9/12/2019,194.184,11.991
O juízo,"Juízo, O",DTF/Paris,192.181,11.575,104,12/5/2019,192.181,11.575
O Caravaggio roubado,Una storia senza nome,Pagu Pictures,191.873,11.975,21,5/23/2019,191.873,11.975
Lizzie,Lizzie,Diamond Films,189.854,10.379,26,1/3/2019,189.854,10.379
Voando alto,Manou the Swift,Paris,188.330,13.289,116,8/8/2019,188.330,13.289
Não mexa com ela,Isha Ovedet,Pagu Pictures,187.269,10.785,25,8/8/2019,187.269,10.785
Uma mulher alta,Dylda,Supo Mungam Films,186.570,10.571,21,12/12/2019,186.570,10.571
O maior presente,El mayor regalo,Coragem Distribuidora,181.162,11.209,45,9/19/2019,181.162,11.209
Tito e os pássaros,Tito e os pássaros,Elo Company/Europa,169.251,17.683,38,2/14/2019,169.251,17.683
O rei de Roma,Io sono tempesta,Pagu Pictures,159.565,9.519,26,3/7/2019,159.565,9.519
UMA - Luz dos Himalaias,UMA - Luz dos Himalaias,Espaço Filmes,159.112,8.278,19,11/21/2019,159.112,8.278
Duas coroas,Dwie korony,A2 Filmes,155.974,11.140,68,11/28/2019,155.974,11.140
Tolkien,Tolkien,Fox,155.741,6.714,18,5/23/2019,155.741,6.714
Boas intenções,Les bonnes intentions,Pandora,154.042,10.128,15,7/4/2019,154.042,10.128
Poderia me perdoar?,Can you ever forgive me?,Fox,153.741,9.480,7,2/14/2019,153.741,9.480
A luz no fim do mundo,Light of my life,Imagem,153.397,7.266,21,10/17/2019,153.397,7.266
Roger Waters: Us Plus Them,Roger Waters: Us Plus Them,Cinemark,153.289,7.085,1,10/3/2019,153.289,7.085
Legalidade,Legalidade,Boulevard Filmes,152.151,11.039,32,9/12/2019,152.151,11.039
Cyrano mon amour,Edmond,A2 Filmes,149.839,10.080,24,6/27/2019,149.839,10.080
Verão de 84,Summer of 84,Cinecolor,147.796,9.793,108,8/29/2019,147.796,9.793
Climax,Climax,Imovision,146.729,8.425,22,1/31/2019,146.729,8.425
A nossa espera,Nos batailles,Vitrine Filmes,145.608,8.502,19,1/3/2019,145.608,8.502
Memórias da dor,La douleur,Imovision,144.170,8.396,6,6/6/2019,144.170,8.396
Vision,Vision,Imovision,142.012,7.720,17,9/5/2019,142.012,7.720
Fora de série,Booksmart,Imagem,140.939,9.670,114,6/13/2019,140.939,9.670
Emma e as cores da vida,Il colore nascosto delle cose,Arteplex Filmes,140.625,8.763,15,12/27/2018,215.203,13.017
Feliz aniversário,Fête de famille,Imovision,140.353,7.252,9,12/5/2019,140.353,7.252
O mau exemplo de Cameron Post,The miseducation of cameron post,Pandora,136.750,8.247,38,4/18/2019,136.750,8.247
A pequena travessa,Little miss dolittle,Paris,135.070,9.265,82,7/11/2019,135.070,9.265
A casa de veraneio,Les estivants,Imovision,134.314,7.752,16,2/28/2019,134.314,7.752
Era uma vez um Deadpool,Once upon a Deadpool,Fox,134.260,9.885,98,12/27/2018,383.901,25.505
Vox lux - O preço da fama,Vox Lux,Paris,132.638,6.271,32,3/28/2019,132.638,6.271
O bar Luva Dourada,Der Goldene Handschuh,Imovision,129.324,7.568,14,7/18/2019,129.324,7.568
P pintassilgo,The goldfinch,Warner,128.822,6.609,21,10/10/2019,128.822,6.609
O mistério do gato chinês,Kûkai,Playarte,128.595,6.968,34,7/25/2019,128.595,6.968
Noite mágica,Notti magiche,Imovision,126.011,7.657,20,8/15/2019,126.011,7.657
Estaremos sempre juntos,Nous finirons ensemble,Imovision,125.205,7.101,9,11/14/2019,125.205,7.101
Amor até as cinzas,Ash is purest white,Imovision,123.998,7.121,17,4/18/2019,123.998,7.121
Los silencios,Los silencios,Vitrine Filmes,122.624,7.567,19,4/11/2019,122.624,7.567
Mademoiselle Paradis,Mademoiselle Paradis,A2 Filmes,122.607,7.301,24,5/9/2019,122.607,7.301
Varda por Agnès,Varda by Agnès,Imovision,122.097,7.322,14,5/9/2019,122.097,7.322
Synonymes,Synonyms,Fênix Filmes/Escarlate,121.621,7.262,17,12/12/2019,121.621,7.262
A lenda de Golem,The Golem,Playarte,120.098,7.803,88,6/13/2019,120.098,7.803
Albatroz,Albatroz,DTF/Paris,113.390,6.455,65,3/7/2019,113.390,6.455
Em trânsito,Transit,Supo Mungam Films,112.391,7.494,10,4/11/2019,112.391,7.494
Minha lua de mel polonesa,Lune de miel,Pandora,109.744,6.562,33,8/29/2019,109.744,6.562
Finalmente livres,En Liberté!,California,109.595,7.143,81,12/12/2019,109.595,7.143
