,,,,,,,ACUMULADO,
título em português,título original,distribuidora,Renda 2017 (R$), Público 2017,Salas Abertura,Estreia, renda (R$),público
Dominação,Incarnate,Playarte,  2.058.990 ,  143.460 ,223,5/1/17,2.058.990,143.460
Uma família feliz,Happy Family,Paris,  2.049.130 ,  148.054 ,356,17/8/17,2.049.130,148.054
Manchester à beira-mar,Manchester by the sea,Sony,  1.814.370 ,  102.141 ,25,19/1/17,1.814.370,102.141
O estranho que nós amamos,The Beguiled,Universal,  1.806.810 ,  100.840 ,74,10/8/17,1.806.810,100.840
My little pony - O filme,My little pony - the movie,Paris,  1.788.240 ,  134.266 ,405,5/10/17,1.788.240,134.266
Tudo e todas as coisas,"Everything, Everything",Warner,  1.719.540 ,  126.276 ,244,15/6/17,1.719.540,126.276
Animais noturnos,Nocturnal animals,Universal,  1.675.080 ,  93.610 ,67,29/12/16,1.968.303,108.056
"João, o maestro","João, o maestro",Sony,  1.629.460 ,  94.812 ,95,17/8/17,1.629.460,94.812
O Reino Gelado: Fogo e gelo,Snezhnaya koroleva 3. Ogon i led,California,  1.593.640 ,  125.679 ,256,10/8/17,1.593.640,125.679
Neve negra,Nieve negra,Paris,  1.579.060 ,  86.301 ,66,8/6/17,1.579.060,86.301
Um limite entre nós,Fences,Paramount,  1.576.140 ,  87.013 ,47,2/3/17,1.576.140,87.013
Uma família de dois,Demain tout commence,Paris,  1.562.190 ,  91.356 ,105,29/6/17,1.562.190,91.356
Malasartes e o duelo com a morte,Malasartes e o duelo com a morte,DTF/Paris,  1.539.770 ,  114.111 ,351,10/8/17,1.539.770,114.111
Bugigangue no espaço,Bugigangue no espaço,Imagem,  1.535.680 ,  113.928 ,246,23/2/17,1.535.680,113.928
Sully - O herói do rio Hudson,Sully,Warner,  1.535.650 ,  79.249 ,264,15/12/16,6.555.433,373.993
Monsieur & Madame Adelman,Monsieur & Madame Adelman,Imovision,  1.526.560 ,  91.320 ,22,20/7/17,1.526.560,91.320
Em defesa de Cristo,The Case for Christ,California,  1.515.630 ,  120.661 ,72,14/9/17,1.515.630,120.661
Jackie,Jackie,Diamond Films,  1.510.200 ,  82.726 ,59,2/2/17,1.510.200,82.726
A cura,A Cure for Wellness,Fox,  1.473.430 ,  107.471 ,203,16/2/17,1.473.430,107.471
Rock Dog - No faro do sucesso,Rock dog,Paris,  1.443.740 ,  106.510 ,323,4/5/17,1.443.740,106.510
"Eu, Daniel Blake","I, Daniel Blake",Imovision,  1.404.010 ,  91.545 ,24,5/1/17,1.404.010,91.545
O que será de nozes 2,The Nut Job 2: Nutty by nature,Diamond Films,  1.398.480 ,  110.551 ,226,14/9/17,1.398.480,110.551
O cidadão ilustre,El ciudadano ilustre,Cineart Filmes,  1.277.530 ,  80.561 ,64,11/5/17,1.277.530,80.561
Capitão fantástico,Captain fantastic,Universal,  1.269.040 ,  73.934 ,46,22/12/16,1.774.323,103.316
Fome de poder,The founder,Diamond Films,  1.237.020 ,  65.084 ,114,9/3/17,1.237.020,65.084
O dia do atentado,Patriots day,Paris,  1.203.660 ,  64.421 ,131,11/5/17,1.203.660,64.421
Silêncio,Silence,Imagem,  1.199.040 ,  70.422 ,121,9/3/17,1.199.040,70.422
"Gostosas, lindas e sexies","Gostosas, lindas e sexies",DTF/Paris,  1.191.140 ,  84.865 ,174,20/4/17,1.191.140,84.865
O rastro,"Rastro, O",Imagem,  1.187.520 ,  90.486 ,327,18/5/17,1.187.520,90.486
Saltimbancos Trapalhões,Saltimbancos Trapalhões,DTF/Paris,  1.160.900 ,  96.442 ,197,19/1/17,1.160.900,96.442
Amor.com,Amor.com,H2O Films,  1.156.480 ,  88.093 ,321,1/6/17,1.156.480,88.093
Diário de um banana - Caindo na estrada,Diary of a wimpy kid - The long haul,Fox,  1.122.630 ,  76.969 ,82,10/8/17,1.122.630,76.969
Norman - Confie em mim,Norman: The moderate rise and tragic fall of a New York fixer,California,  1.106.340 ,  55.540 ,67,4/5/17,1.106.340,55.540
"Com amor, Van Gogh",Loving Vicent,Europa,  1.096.220 ,  68.964 ,36,30/11/17,1.096.220,68.964
O vendedor de sonhos,"Vendedor de sonhos, O",Warner,  986.151 ,  80.071 ,384,8/12/16,9.153.567,687.872
Boneco de neve,The snowman,Universal,  948.575 ,  45.187 ,39,23/11/17,948.575,45.187
