TituloNacional,Titulo,Distribuidor,Estreia,Origem,Genero,ClassificacaoEtaria,Salas_na_Estreia,RENDA,PUBLICO
Está tudo bem,Tout s'est bien passé,California,6/2/2022,França,Drama,14,24,51.224,2.740
Duna,Dune,Warner,10/21/2021,Canadá / Hungria / Reino Unido / EUA,Ficção-científica,14,0,47.332,2.331
Além da lenda - O filme,Além da lenda - O filme,Boulevard Filmes,8/4/2022,Brasil,Animação,Livre,16,45.815,3.262
Kompromat - O dossiê russo,Kompromat,Mares Filmes/Polifilmes,9/29/2022,França,Drama,14,26,45.327,2.117
Ela e eu,Ela e eu,Disney,7/21/2022,Brasil,Drama,16,11,45.277,2.260
Onoda - 10 mil noites na selva,Onoda - 10.000 nights in the jungle,Imovision,8/25/2022,França / Japão / Alemanha,Drama,14,19,44.332,2.108
Clarice Lispector - A descoberta do mundo,Clarice Lispector - A descoberta do mundo,Anagrama Filmes,12/8/2022,Brasil,Documentário,10,11,43.615,2.584
Mentes extraordinárias,Presque,California,5/19/2022,França / Suíça,Drama,14,11,43.603,2.274
Aline - A voz do amor,Aline,Imovision,6/16/2022,França,Drama,16,19,41.847,2.299
"Próximo passo, O",En corps,Bonfilm,9/8/2022,França,Drama,14,19,41.621,2.861
Incompatível,Incompatível,Disney,4/28/2022,Brasil,Comédia,12,31,41.013,1.977
Abestalhados 2,Abestalhados 2,Disney,10/27/2022,Brasil,Comédia,14,69,40.538,2.008
"Perdão, O",Ballad of a white cow,Imovision,9/22/2022,Irã / França,Drama,14,7,38.973,1.992
"Eu, Christiane F., 13 anos, drogada e prostituída - Edição 40 anos",Christiane F. - Wir kinder vom bahnhof zoo,A2 Filmes,7/28/2022,Alemanha,Drama,18,6,38.894,2.047
Delicioso - Da cozinha para o mundo,Délicieux,Playarte,2/10/2022,França,Drama,12,19,38.504,1.965
"Mulher de um espião, A",Wife of a spy,Zeta Filmes,3/31/2022,Japão,Drama,14,11,37.760,2.419
Eu não choro,I never cry,Arteplex Filmes,1/20/2022,Polônia / Irlanda,Drama,14,15,36.115,2.186
"Paris, 13º distrito",Les Olympiades,California,4/28/2022,França,Drama,16,12,36.059,2.452
Miss França,Miss,Pandora Filmes,5/19/2022,França / Bélgica,Comédia,14,14,35.954,2.092
"Senhor dos anéis - As duas torres, O",The Lord Of The Rings - The Two Towers,Warner,12/27/2002,EUA,,,0,35.754,3.720
"Amores dela, Os",Les amours d'Anaïs,Imovision,7/21/2022,França,Romance,14,7,35.590,2.001
Amor de redenção,Redeeming love,Cinecolor,6/9/2022,EUA,Drama,16,36,34.750,1.737
